precision,workload_type,workload_function,dims,iterations
fp16,nonlinear,softmax,"(2, 960)",-1
fp32,nonlinear,softmax,"(2, 960)",-1
bf16,nonlinear,softmax,"(32768, 1024)",-1
fp16,nonlinear,softmax,"(32768, 1024)",-1
fp32,nonlinear,softmax,"(32768, 1024)",-1
bf16,nonlinear,softmax,"(32768, 128)",-1
fp16,nonlinear,softmax,"(32768, 128)",-1
fp32,nonlinear,softmax,"(32768, 128)",-1
bf16,nonlinear,softmax,"(32768, 192)",-1
fp16,nonlinear,softmax,"(32768, 192)",-1
fp32,nonlinear,softmax,"(32768, 192)",-1
bf16,nonlinear,softmax,"(32768, 256)",-1
fp16,nonlinear,softmax,"(32768, 256)",-1
fp32,nonlinear,softmax,"(32768, 256)",-1
bf16,nonlinear,softmax,"(32768, 320)",-1
fp16,nonlinear,softmax,"(32768, 320)",-1
fp32,nonlinear,softmax,"(32768, 320)",-1
bf16,nonlinear,softmax,"(32768, 384)",-1
fp16,nonlinear,softmax,"(32768, 384)",-1
fp32,nonlinear,softmax,"(32768, 384)",-1
bf16,nonlinear,softmax,"(32768, 448)",-1
fp16,nonlinear,softmax,"(32768, 448)",-1
fp32,nonlinear,softmax,"(32768, 448)",-1
bf16,nonlinear,softmax,"(32768, 512)",-1
fp16,nonlinear,softmax,"(32768, 512)",-1
fp32,nonlinear,softmax,"(32768, 512)",-1
bf16,nonlinear,softmax,"(32768, 576)",-1
fp16,nonlinear,softmax,"(32768, 576)",-1
fp32,nonlinear,softmax,"(32768, 576)",-1
bf16,nonlinear,softmax,"(32768, 640)",-1
fp16,nonlinear,softmax,"(32768, 640)",-1
fp32,nonlinear,softmax,"(32768, 640)",-1
bf16,nonlinear,softmax,"(32768, 704)",-1
fp16,nonlinear,softmax,"(32768, 704)",-1
fp32,nonlinear,softmax,"(32768, 704)",-1
bf16,nonlinear,softmax,"(32768, 768)",-1
fp16,nonlinear,softmax,"(32768, 768)",-1
fp32,nonlinear,softmax,"(32768, 768)",-1
bf16,nonlinear,softmax,"(32768, 832)",-1
fp16,nonlinear,softmax,"(32768, 832)",-1
fp32,nonlinear,softmax,"(32768, 832)",-1
bf16,nonlinear,softmax,"(32768, 896)",-1
fp16,nonlinear,softmax,"(32768, 896)",-1
fp32,nonlinear,softmax,"(32768, 896)",-1
bf16,nonlinear,softmax,"(32768, 960)",-1
fp16,nonlinear,softmax,"(32768, 960)",-1
fp32,nonlinear,softmax,"(32768, 960)",-1
bf16,nonlinear,softmax,"(32, 1024)",-1
fp16,nonlinear,softmax,"(32, 1024)",-1
fp32,nonlinear,softmax,"(32, 1024)",-1
bf16,nonlinear,softmax,"(32, 128)",-1
fp16,nonlinear,softmax,"(32, 128)",-1
fp32,nonlinear,softmax,"(32, 128)",-1
bf16,nonlinear,softmax,"(32, 192)",-1
fp16,nonlinear,softmax,"(32, 192)",-1
fp32,nonlinear,softmax,"(32, 192)",-1
bf16,nonlinear,softmax,"(32, 256)",-1
fp16,nonlinear,softmax,"(32, 256)",-1
fp32,nonlinear,softmax,"(32, 256)",-1
bf16,nonlinear,softmax,"(32, 320)",-1
fp16,nonlinear,softmax,"(32, 320)",-1
fp32,nonlinear,softmax,"(32, 320)",-1
bf16,nonlinear,softmax,"(32, 384)",-1
fp16,nonlinear,softmax,"(32, 384)",-1
fp32,nonlinear,softmax,"(32, 384)",-1
bf16,nonlinear,softmax,"(32, 448)",-1
fp16,nonlinear,softmax,"(32, 448)",-1
fp32,nonlinear,softmax,"(32, 448)",-1
bf16,nonlinear,softmax,"(32, 512)",-1
fp16,nonlinear,softmax,"(32, 512)",-1
fp32,nonlinear,softmax,"(32, 512)",-1
bf16,nonlinear,softmax,"(32, 576)",-1
fp16,nonlinear,softmax,"(32, 576)",-1
fp32,nonlinear,softmax,"(32, 576)",-1
bf16,nonlinear,softmax,"(32, 640)",-1
fp16,nonlinear,softmax,"(32, 640)",-1
fp32,nonlinear,softmax,"(32, 640)",-1
bf16,nonlinear,softmax,"(32, 704)",-1
fp16,nonlinear,softmax,"(32, 704)",-1
fp32,nonlinear,softmax,"(32, 704)",-1
bf16,nonlinear,softmax,"(32, 768)",-1
fp16,nonlinear,softmax,"(32, 768)",-1
fp32,nonlinear,softmax,"(32, 768)",-1
bf16,nonlinear,softmax,"(32, 832)",-1
fp16,nonlinear,softmax,"(32, 832)",-1
fp32,nonlinear,softmax,"(32, 832)",-1
bf16,nonlinear,softmax,"(32, 896)",-1
fp16,nonlinear,softmax,"(32, 896)",-1
fp32,nonlinear,softmax,"(32, 896)",-1
bf16,nonlinear,softmax,"(32, 960)",-1
fp16,nonlinear,softmax,"(32, 960)",-1
fp32,nonlinear,softmax,"(32, 960)",-1
bf16,nonlinear,softmax,"(4096, 1024)",-1
fp16,nonlinear,softmax,"(4096, 1024)",-1
fp32,nonlinear,softmax,"(4096, 1024)",-1
